ingredient,reference,proxy_type (1:nutri 2:impact)
en:d-alpha-tocopheryl-acetate,en:vitamin-e,1
en:d-alpha-tocopheryl-acid-succinate,en:vitamin-e,1
en:d-alpha-tocopheryl-polyethylene-glycol-1000-succinate,en:vitamin-e,1
en:dl-alpha-tocopherol,en:vitamin-e,1
en:dl-alpha-tocopheryl-acetate,en:vitamin-e,1
hr:dl-alfa-tokoferil-acetat,en:vitamin-e,1
en:e304i,en:e304,1
en:e304ii,en:e304,1
en:potato-dextrin,en:e1400,1
en:stabilizer-e445,en:e445,1
en:calcium-bisglycinate,en:calcium,1
en:calcium-carbonate,en:calcium,1
en:calcium-chloride,en:calcium,1
en:calcium-citrate,en:calcium,1
en:calcium-citrate-malate,en:calcium,1
en:calcium-gluconate,en:calcium,1
en:calcium-glycerophosphate,en:calcium,1
en:calcium-hydroxide,en:calcium,1
en:calcium-l-pidolate,en:calcium,1
en:calcium-lactate,en:calcium,1
en:calcium-malate,en:calcium,1
en:calcium-oxide,en:calcium,1
en:calcium-phosphate,en:calcium,1
en:calcium-salts,en:calcium,1
en:calcium-salts-from-orthophosphoric-acid,en:calcium,1
en:calcium-sulfate,en:calcium,1
en:tricalcium-phosphate,en:calcium,1
en:white-and-yellow-beeswax,en:e901,1
en:e460ii,en:e460,1
en:microcrystalline-cellulose,en:e460,1
en:e141i,en:e141,1
en:e141ii,en:e141,1
en:dipotassium-phosphate,en:e340,1
en:e340i,en:e340,1
en:e340iii,en:e340,1
en:monopotassium-phosphate,en:e340,1
en:tripotassium-phosphate,en:e340,1
en:rehydrated-wheat-protein,en:wheat-protein,1
en:textured-wheat-protein,en:wheat-protein,1
en:wheat-protein-isolate,en:wheat-protein,1
en:e332i,en:e332,1
en:e332ii,en:e332,1
nl:kaliumjodide-en-hydroxide,en:potassium-iodide,1
en:e504i,en:e504,1
en:e504ii,en:e504,1
en:e336ii,en:e336,1
fi:vitamiini-a-ja-d2,en:ergocalciferol,1
en:ferrous-gluconate-to-stabilize-color,en:e579,1
en:sodium-cyclamate,en:e952,1
en:magnesium-bisglycinate,en:magnesium,1
en:magnesium-carbonate,en:magnesium,1
en:magnesium-chloride,en:magnesium,1
en:magnesium-citrate,en:magnesium,1
en:magnesium-gluconate,en:magnesium,1
en:magnesium-glycerophosphate,en:magnesium,1
en:magnesium-hydroxide,en:magnesium,1
en:magnesium-l-aspartate,en:magnesium,1
en:magnesium-l-pidolate,en:magnesium,1
en:magnesium-lactate,en:magnesium,1
en:magnesium-oxide,en:magnesium,1
en:magnesium-phosphate,en:magnesium,1
en:magnesium-potassium-citrate,en:magnesium,1
en:magnesium-salts-of-citric-acid,en:magnesium,1
en:magnesium-salts-of-orthophosphoric-acid,en:magnesium,1
en:magnesium-sulfate,en:magnesium,1
en:sodium-bicarbonate,en:sodium,1
en:sodium-carbonate,en:sodium,1
en:sodium-gluconate,en:sodium,1
en:sodium-hydroxide,en:sodium,1
en:sodium-lactate,en:sodium,1
en:sodium-phosphate,en:sodium,1
en:sodium-salts-of-orthophosphoric-acid,en:sodium,1
en:liquorice-extract,en:liquorice,1
en:liquorice-powder,en:liquorice,1
en:calcium-phosphate,en:e341iii,1
fr:saccharinate-de-sodium,en:e954,1
fr:fibres-vegetales-d-oligofructose,en:oligofructose,
en:hydrolysed-corn-protein,en:hydrolysed-vegetable-protein,1
en:e172i,en:e172,1
en:e172ii,en:e172,1
en:e172iii,en:e172,1
en:magnesium-potassium-citrate,en:potassium,1
en:potassium-bicarbonate,en:potassium,1
en:potassium-carbonate,en:potassium,1
en:potassium-chloride,en:potassium,1
en:potassium-gluconate,en:potassium,1
en:potassium-glycerophosphate,en:potassium,1
en:potassium-hydroxide,en:potassium,1
en:potassium-lactate,en:potassium,1
en:potassium-phosphate,en:potassium,1
en:potassium-salts-of-orthophosphoric-acid,en:potassium,1
en:tripotassium-citrate,en:potassium,1
en:e350i,en:e350,1
en:e350ii,en:e350,1
en:menaquinone,en:vitamin-k,1
en:vitamin-k3,en:vitamin-k,1
en:e140i,en:e140,1
en:e140ii,en:e140,1
nl:kaliumjodide-en-hydroxide,en:e525,1
fr:lactose-et-mineraux-du-lait,en:milk-minerals,1
en:beetroot-juice-concentrate,en:beetroot-juice,1
en:copper-gluconate,en:copper,1
en:copper-lysine-complex,en:copper,1
en:copper-sulfate,en:copper,1
en:cupric-carbonate,en:copper,1
en:cupric-citrate,en:copper,1
en:calcium-iodate,en:iodine,1
en:potassium-iodate,en:iodine,1
en:sodium-iodate,en:iodine,1
en:manganese-carbonate,en:manganese,1
en:manganese-chloride,en:manganese,1
en:manganese-gluconate,en:manganese,1
en:manganese-glycerophosphate,en:manganese,1
de:rindergehacktes,en:beef-meat,2
en:angus-beef,en:beef-meat,2
fr:viande-bovine-de-race-charolaise,en:beef-meat,2
fr:viande-bovine-fraiche-protegee-sous-vide,en:beef-meat,2
fr:viande-bovine-hachee,en:beef-meat,2
fr:viande-bovine-halal,en:beef-meat,2
fr:viande-bovine-origine-france,en:beef-meat,2
fr:oeufs-frais-de-poules-elevees-en-plein-air,en:fresh-egg,2
en:organic-free-range-chicken-eggs,en:free-range-chicken-eggs,2
fr:oeuf-moyen-de-poule-eleve-en-plein-air-sans-antibiotiques,en:free-range-chicken-eggs,2
fr:lait-de-vache-bio-thermise,en:cow-s-milk,2
fr:lait-frais-de-nos-vaches-non-homogeneise,en:cow-s-milk,2
en:dark-durum-wheat-flour,en:durum-wheat-flour,2
nl:durum-tarwegriesmeel,en:durum-wheat-flour,2
en:british-lamb,en:lamb-meat,2
en:edamame,en:soya-bean,
en:soya-bean-paste,en:soya-bean,2
en:soybean-meal,en:soya-bean,2
fr:feves-de-soja-sans-ogm-decortiquees,en:soya-bean,2
fr:quinoa-rouge-et-blanc,en:white-quinoa,2
en:demerara-sugar,en:unrefined-cane-sugar,2
en:unrefined-whole-cane-sugar,en:unrefined-cane-sugar,2
en:einkorn-flour,en:cereal-flour,2
en:ivory-teff-flour,en:cereal-flour,2
en:sorghum-flour,en:cereal-flour,2
en:teff-flour,en:cereal-flour,2
en:citrus-fibre,en:citrus-fruit,2
en:citrus-pectin,en:citrus-fruit,2
en:kaffir-lime,en:citrus-fruit,2
fr:ecorces-d-agrumes,en:citrus-fruit,2
fr:jus-d-orange-et-autres-agrumes-a-base-de-concentres,en:citrus-fruit,2
en:liquid-whole-free-range-egg,en:liquid-whole-egg,2
fr:riz-long-grain-naturellement-parfume,en:long-grain-rice,2
fr:riz-long-parfume,en:long-grain-rice,2
en:oil,en:oil-and-fat,2
fr:oeufs-entiers-reconstitues,en:whole-egg,2
en:cocoa-paste-processed-with-alkali,en:cocoa,
en:organic-cocoa-paste,en:cocoa,1
en:natural-organic-vanilla-flavouring,en:natural-vanilla-extract,1
en:natural-vanilla-flavouring-with-other-natural-flavourings,en:natural-vanilla-extract,
en:modified-potato-starch,en:starch,
fr:amidon-de-ble-partiellement-modifie,en:starch,2
fr:amidons-modifies-de-mais-et-de-pomme-de-terre,en:starch,2
fr:oignon-prefrit-a-l-huile-de-tournesol,en:fried-onion,
de:vanilleschotenpulver,en:vanilla,
en:precooked-mackerel-fillet,en:atlantic-mackerel,1
en:lemon-pepper,en:spice,
en:ras-el-hanout,en:spice,
fr:riz-rond-biologique-de-qualite-superieure,en:organic-rice,2
en:marc-de-bourgogne,en:pomace-brandy,2
en:marc-de-champagne,en:pomace-brandy,2
en:organic-free-range-chicken-eggs,en:organic-chicken-egg,2
de:roggenvollkornschrot,en:wholemeal-rye,2
en:germinated-black-rice,en:black-rice,2
fr:riz-rond-de-qualite-superieure,en:round-rice,2
en:exhausted-vanilla-seeds,en:vanilla-seeds,2
fr:jus-de-peche-a-base-de-concentre,en:peach-juice,2
fi:rypäle-ja-vadelmatäysmehu-tiivisteestä,en:raspberry-juice,2
fr:jus-de-framboise-a-base-de-concentre,en:raspberry-juice,2
en:goat,en:meat,2
en:horse,en:meat,2
fr:melange-de-miels-de-fleurs-originaires-et-non-originaires-de-l-union-europeenne-issus-de-l-agriculture-biologique,en:blend-of-non-eu-honey,
fr:melanges-de-miels-d-acacia-originaires-et-non-originaires-de-l-union-europeenne,en:blend-of-non-eu-honey,
en:blend-of-eu-honeys,en:honey,
en:lactarius-sanguifluus,en:mushroom,
de:bourbon-vanilleschote-gemahlen,en:vanilla,
de:bourbonvanilleschotenextrakt,en:vanilla,
fr:oeufs-de-categorie-a-de-poules-elevees-en-plein-air,en:egg,1
fr:oeufs-de-poules-elevees-en-cage-de-categorie-a,en:egg,
en:clarified-cow-s-butter,en:butter,
es:trocitos-de-pepitas-de-cacao-caramelizadas,en:cocoa,
fr:eclats-de-feves-de-cacao-torrefies,en:cocoa,
en:powdered-concentrated-celery-juice,en:celery,2
en:natural-emulsifier,en:soya-lecithin,
en:cantharellus-cibarius,en:mushroom,
fr:jus-de-kiwi-a-base-de-concentre,en:kiwi,2
en:malted-wholemeal-rye-flakes-and-flour,en:wholemeal-rye-flour,
en:concentrated-grape-must,en:grape,2
en:natural-onion-flavouring,en:onion,
en:essential-orange-oil-flavour,en:orange,2
en:organic-peppermint-oil,en:peppermint,2
en:roscoff-onion-powder,en:onion,2
en:roscoff-pdo-onions,en:onion,2
fr:petales-de-bleuet,en:blueberry,2
fr:preparation-a-base-de-filets-de-poulet-traites-en-salaison,fr:viande-de-poulet-traitee-en-salaison-cuite,
fi:pakastekuivattu-mansikka-paloina,en:freeze-dried-raspberries,2
fi:omena-päärynä-ja-rypäletäysmehu-tiivisteestä,en:pear-juice-from-concentrate,2
fr:moules-du-pacifique-decoquillees-cuites,en:mussel,
fi:virikehäkkikanan-muna,en:egg,
fr:oeufs-frais-dates-du-jour-de-ponte-de-poules-elevees-en-cage,en:egg,
fr:oeufs-frais-de-poules-elevees-en-cage,en:egg,
en:mixed-peel,en:fruit,
en:einkorn-flour,en:einkorn-wheat,2
fr:haricots-mogettes-de-vendee,fr:haricots-mogettes,2
en:ground-rye-malt,en:wheat-malt,2
en:rye-malt-extract,en:wheat-malt,2
en:rye-malt-grist,en:wheat-malt,2
fi:ruismallas-ja-ruismallasuute,en:wheat-malt,2
en:germinated-black-rice,en:germinated-rice,2
en:natural-elderberry-extract,en:elderberry-extract,2
en:whole-rye-sourdough,en:sourdough,1
nl:rogge-zuurdesempoeder,en:sourdough,1
en:dextrose-monohydrate,en:glucose,2
en:organic-dextrose,en:glucose,2
en:polydextrose,en:glucose,2
en:e322i,en:soya-lecithin,
en:e322ii,en:soya-lecithin,
fr:plantes-aromatiques-et-epices-dont-herbes-aromatiques,en:spice-extract,2
en:modified-rice-starch,en:rice,2
nl:gefractioneerd-melkvet,en:butter,2
en:sea-squirt,en:shellfish,1
en:agave-fibre,en:wheat-bran,1
en:apple-fiber,en:wheat-bran,1
en:chicory-fibre,en:wheat-bran,1
en:lemon-fibre,en:wheat-bran,1
en:pineapple-fibre,en:wheat-bran,1
en:potato-fibre,en:wheat-bran,1
en:soy-fiber,en:wheat-bran,1
en:sugar-beet-fibre,en:wheat-bran,1
fr:fibres-de-legume,en:wheat-bran,1
fr:fibres-de-tomate,en:wheat-bran,1
en:soluble-fibre,en:wheat-bran,1
en:acacia-fibre,en:wheat-bran,2
en:decaffeinated-green-tea,en:plant,1
en:green-tea-extract,en:plant,1
en:green-tea-from-china,en:plant,1
en:green-tea-leaf,en:plant,1
fr:the-vert-au-jasmin,en:plant,1
fr:the-vert-d-indonesie,en:plant,1
fr:concentre-d-hibiscus-et-de-carotte,en:plant,1
en:unrefined-sea-salt-from-the-atlantic,en:salt,
fr:flocons-de-ble-malte,en:oat-flakes,
en:black-tea-extract,en:plant,1
en:black-tea-leaf,en:plant,1
en:decaffeinated-black-tea,en:plant,1
fr:infusion-de-the-noir-concentree,en:plant,1
fr:the-noir-darjeeling,en:plant,1
en:rennet,en:enzyme,1
en:sheep-rennet,en:enzyme,1
en:lovage-root,en:parsley,
en:beta-galactosidase,en:enzyme,1
fr:yaourt-britannique-a-faible-teneur-en-matieres-grasses,en:yogurt,2
es:tegumento-de-psyllium-rubio,en:wheat-bran,1
en:lactic-ferments,en:ferment,1
en:alpha-amylase,en:enzyme,1
fr:anethol-de-badiane,en:spice,2
de:eiweißpulver-aus-sonnenblumenkernen,en:protein,1
en:broad-bean-protein,en:protein,1
en:oat-protein,en:protein,1
en:potato-protein,en:protein,1
en:rapeseed-protein,en:protein,1
en:freshly-brewed-arabica-coffee,en:coffee,
fr:cafe-arabica-de-colombie-en-poudre,en:coffee,
fr:cafe-arabica-du-bresil,en:coffee,
fr:cafe-arabica-torrefie,en:coffee,
en:organic-verbena,en:herb,1
fr:feuilles-de-verveine,en:herb,1
fr:sirop-de-malt-d-orge-deshydrate,en:rice-syrup,1
en:black-galangal,en:ginger,
nl:gemalen-galangawortel,en:ginger,
fr:rooibos-d-afrique-du-sud,en:plant,1
en:whole-grain-ivory-teff-flour,en:wholemeal-barley-flour,
en:whole-grain-einkorn-flour,en:wholemeal-barley-flour,2
en:whole-grain-teff-flour,en:wholemeal-barley-flour,2
en:whole-grain-triticale-flour,en:wholemeal-barley-flour,2
en:bifidobacterium-bifidum,en:ferment,1
en:bifidobacterium-lactis,en:ferment,1
en:bifidobacterium-longum,en:ferment,1
es:bifidobacterias-y-otros-fermentos-lacticos,en:ferment,1
en:wholemeal-rye-flakes,en:rye,1
fr:sirop-de-sorbitol-de-ble,en:e420,1
en:camomile-flower,en:herb,1
en:organic-lemon-balm,en:herb,1
en:highly-fat-reduced-cocoa,en:fat-reduced-cocoa-powder,
en:beef-casing,en:protein,1
en:hydrolyzed-collagen,en:protein,1
en:pork-collagen,en:protein,1
fr:boyau-collagenique,en:protein,1
en:maltose-syrup,en:sugar,2
la:aspergillus-oryzae,en:ferment,1
la:aspergillus-sojae,en:ferment,1
fr:marinade-barbecue,en:sauce,1
fr:marinade-tex-mex,en:sauce,1
en:tea-extract,en:plant,1
en:tea-from-ceylon,en:plant,1
en:tea-leaf,en:plant,1
fr:levain-deshydrate-et-devitalise,en:sourdough,1
en:beef-protein,en:protein,1
en:blood-proteins,en:protein,1
en:chicken-blood,en:protein,1
en:chicken-protein,en:protein,1
en:organic-ceylon-black-tea,en:plant,1
en:concentrated-chokeberry-juice,en:fruit,1
de:hydrolysiertes-schweineprotein,en:protein,1
en:hydrolysed-milk-protein,en:hydrolysed-vegetable-protein,1
en:hydrolysed-pea-protein,en:hydrolysed-vegetable-protein,1
fr:ferments-lactiques-dont-lactobacillus-casei,en:ferment,1
it:l-casei-431,en:ferment,1
en:liquorice-root-extract,en:liquorice,1
en:organic-plant-extracts,en:plant,1
en:modified-red-port,en:liqueur-wine,
en:rose-water,en:herb,1
en:selenium-enriched-yeast,en:sodium-selenite,1
en:cooked-tagliatelle,en:pasta,1
en:pepper-jack,en:cheese,
en:himalayan-pink-salt,en:salt,
en:pecorino-romano,en:sheep-s-milk-cheese,
en:mild-yogurt,en:whole-yogurt,2
en:mild-yogurt,en:semi-skimmed-mild-yogurt,2
en:mild-yogurt,en:skimmed-mild-yogurt,2
en:pea-protein,en:pea,2
en:coating,fr:chocolat-de-couverture,1
en:coating,fr:chocolat-noir-de-couverture,
en:coating,en:fat-reduced-cocoa-powder,
en:coating,fr:enrobage-chocolat-au-lait,
en:vegetable,en:artichoke,2
en:vegetable,en:asparagus,2
en:vegetable,en:aubergine,2
en:vegetable,en:avocado,2
en:vegetable,en:bamboo,2
en:vegetable,en:belgian-endive,2
en:vegetable,en:bell-pepper,2
en:vegetable,en:broccoli,2
en:vegetable,en:broccoli-floret,2
en:vegetable,en:butternut-squash,2
en:vegetable,en:cabbage,2
en:vegetable,en:cardoon,2
en:vegetable,en:cauliflower,2
en:vegetable,en:celery,2
en:vegetable,en:chard,2
en:vegetable,en:chicory,2
en:vegetable,en:chili-pepper,2
en:vegetable,en:courgette,2
en:vegetable,en:cress,2
en:vegetable,en:cucumber,2
en:vegetable,en:curly-endive,2
en:vegetable,en:endive,2
en:vegetable,en:frisee-lettuce,2
en:vegetable,en:green-tomato,2
en:vegetable,en:heart-of-palm,2
en:vegetable,en:mixed-vegetables,2
en:vegetable,en:okra,2
en:vegetable,en:pumpkin,2
en:vegetable,en:radicchio,2
en:vegetable,en:red-kuri-squash,2
en:vegetable,en:rhubarb,2
en:vegetable,en:salad,2
en:vegetable,en:spinach,2
en:vegetable,en:tomato,2
en:vegetable,en:vegetable-blend,2
en:vegetable,en:beetroot-sprouts,2
en:vegetable,en:dehydrated-onion,2
en:vegetable,fr:legumes-verts,2
en:poultry-skin,en:chicken-skin,1
en:poultry-skin,en:turkey-skin,1
en:e503,en:ammonium-and-sodium-carbonates,2
en:e322i,en:rapeseed-lecithin,
en:e322i,en:sunflower-lecithin,
en:e322i,fr:emulsifiant-lecithine-de-tournesol,1
en:lime-juice,en:concentrated-lemon-juice,2
de:getreideflocken,en:whole-grain-oat-flakes,1
en:casing,fr:boyau-naturel-de-porc,1
en:black-olive,en:green-olives,2
en:black-olive,en:olive-pate,2
en:orange-blossom-flavouring,en:orange,2
en:oil,en:frying-oil,2
en:e428,en:beef-gelatin,2
en:e428,en:fish-gelatine,2
en:e428,en:pork-gelatin,2
en:e428,fr:gelatine-de-volaille,2
en:e428,fr:gelatine-non-porcine,2
fr:ail-seche,en:rehydrated-garlic,1
en:vegetable-protein,en:broad-bean-protein,2
en:vegetable-protein,en:oat-protein,2
en:fresh-whole-milk,fr:lait-frais-de-montagne-entier-pasteurise,1
en:fresh-whole-milk,fr:lait-frais-entier-microfiltre,1
en:fresh-whole-milk,fr:lait-frais-entier-pasteurise,1
en:camargue-rice,en:camargue-long-grain-white-rice,1
en:camargue-rice,en:camargue-whole-long-grain-black-rice,1
en:camargue-rice,en:camargue-whole-long-grain-rice,1
en:sorghum-flour,en:whole-sorghum-flour,2
fr:fruits-des-bois,en:blackcurrant,
fr:fruits-des-bois,en:elderberry,
fr:fruits-des-bois,en:raspberry,
en:barley-malt-syrup,en:glucose,2
en:oily-fish,en:anchovy,
en:oily-fish,en:european-conger,
en:oily-fish,en:garfish,
en:oily-fish,en:herring,
en:oily-fish,en:jack-mackerels,
en:oily-fish,en:mackerel,
en:oily-fish,en:salmon,
en:oily-fish,en:sardine,
en:oily-fish,en:swordfish,
en:oily-fish,en:trout,
en:unrefined-sugar,en:unrefined-cane-sugar,2
en:thai-long-grain-rice,en:rice,1
en:thai-long-grain-rice,en:organic-thai-long-grain-white-rice,1
en:triticale,en:whole-grain-triticale,2
en:shortening,en:vegetable-oil,2
en:pork-by-product,fr:couenne-et-gras-de-porc,2
en:e150,en:caramelised-sugar,2
en:organic-long-grain-rice,en:organic-long-grain-white-rice,1
en:tomato-puree,en:concentrated-tomato-puree,1
en:tomato-puree,en:double-concentrated-tomato,1
en:tomato-puree,en:organic-tomato-puree,1
en:tomato-puree,fr:puree-de-tomate-mi-reduite,1
en:whole-spelt,en:whole-grain-spelt-flakes,1
en:citrus-fruit,en:clementine,1
en:citrus-fruit,en:grapefruit,1
en:citrus-fruit,en:lemon,1
en:citrus-fruit,en:lime,1
en:citrus-fruit,en:mandarin,1
en:citrus-fruit,en:orange,1
en:wheat-malt,en:wheat-malt-flour,1
en:wheat-malt,fr:ble-malte-concasse,1
en:raw-milk,fr:lait-cru-entier,1
en:molybdenum,en:sodium-molybdate,2
en:durum-wheat-flour,en:durum-whole-wheat-flour,1
en:strawberry-juice-concentrate,en:strawberry-juice-from-concentrate,1
en:hydrogenated-oil,en:vegetable-oil,2
en:concentrated-pineapple-juice,en:organic-concentrated-pineapple-juice,2
en:caseinate,en:sodium-caseinate,1
en:crustacean,en:crayfish,2
en:crustacean,en:lobster,2
en:crustacean,en:shrimp,2
en:vegetable-suet,en:vegetable-oil,
en:flavouring-preparation,en:spice,
en:flour,en:flour-blend,1
en:flour,en:wheat-flour,1
en:soya-bean,en:sprouted-soybeans,1
en:glucose,en:glucose-fructose,1
en:whole-milk-yogurt,en:whole-milk-powder,1
en:glaze,en:chocolate-glaze,2
en:superior-quality-long-grain-rice,en:organic-long-grain-white-rice,1
en:sauce,en:bearnaise-sauce,2
en:sauce,en:bechamel-sauce,2
en:sauce,en:bolognese-sauce,2
en:sauce,en:cheese-sauce,2
en:sauce,en:cream-sauce,2
en:sauce,en:fish-sauce,2
en:sauce,en:harissa,2
en:sauce,en:hot-sauce,2
en:sauce,en:ketchup,2
en:sauce,en:mayonnaise,2
en:sauce,en:pesto,2
en:sauce,en:prepared-sauce,2
en:sauce,en:remoulade-sauce,2
en:sauce,en:soy-sauce,2
en:sauce,en:sweet-and-sour-sauce,2
en:sauce,en:tomato-sauce,2
en:sauce,en:vinaigrette,2
en:sauce,en:chocolate-sauce,2
en:sauce,fr:sauce-au-vinaigre-balsamique,2
en:sauce,fr:sauce-aux-fruits-rouges,2
en:sauce,fr:sauce-hamburger,2
en:cow-s-milk,en:pasteurised-cow-s-milk,1
en:cow-s-milk,en:skimmed-milk,1
en:cow-s-milk,en:semi-skimmed-cow-s-milk,1
en:cow-s-milk,en:whole-cow-s-milk,1
en:cow-s-milk,fr:lait-de-vache-bio-thermise,1
en:cow-s-milk,fr:lait-frais-de-nos-vaches-non-homogeneise,1
en:glucose-fructose-syrup,en:high-fructose-corn-syrup,1
en:glucose-fructose-syrup,en:wheat-glucose-fructose-syrup,1
en:algae-extract,en:seaweed-extract,2
fr:pommes-de-terre-de-consommation-a-chair-ferme,fr:pommes-de-terre-de-consommation-a-chair-ferme-bio,2
en:herb,en:basil,2
en:herb,en:bay-leaf,2
en:herb,en:blue-fenugreek,2
en:herb,en:celery,2
en:herb,en:chervil,2
en:herb,en:coriander,2
en:herb,en:coriander-leaves,2
en:herb,en:dill,2
en:herb,en:herbes-de-provence,2
en:herb,en:spice-extract,
en:herb,en:parsley,
en:herb,en:marjoram,2
en:herb,en:mint,2
en:herb,en:oregano,2
en:herb,en:rosemary,2
en:herb,en:sage,2
en:herb,en:summer-savory,2
en:herb,en:tarragon,2
en:herb,en:thyme,2
en:koji,en:rice-koji,2
en:natural-lemon-flavouring,en:lime,
en:root-vegetable,en:beetroot,2
en:root-vegetable,en:carrot,2
en:root-vegetable,en:cassava,2
en:root-vegetable,en:celeriac,2
en:root-vegetable,en:chives,2
en:root-vegetable,en:horseradish,2
en:root-vegetable,en:jerusalem-artichoke,2
en:root-vegetable,en:parsnip,2
en:root-vegetable,en:potato,2
en:root-vegetable,en:radish,2
en:root-vegetable,en:salsify,2
en:root-vegetable,en:sugar-beet,2
en:root-vegetable,en:sweet-potato,2
en:root-vegetable,en:turnip,2
en:root-vegetable,en:turnip-rape,2
en:root-vegetable,en:yam,2
en:organic-olive-oil,en:organic-extra-virgin-olive-oil,1
en:cuttlefish,en:common-cuttlefish,2
en:cereal-flour,en:amaranth-flour,1
en:cereal-flour,en:barley-flour,1
en:cereal-flour,en:buckwheat-flour,1
en:cereal-flour,en:khorasan-wheat-flour,1
en:cereal-flour,en:malt-flour,1
en:cereal-flour,en:millet-flour,1
en:cereal-flour,en:oat-flour,1
en:cereal-flour,en:rye-flour,1
en:cereal-flour,en:sorghum-flour,1
en:cereal-flour,en:spelt-flour,1
en:cereal-flour,en:wheat-flour,1
en:cereal-flour,en:wholemeal-barley-flour,1
en:cakes,en:sponge-cake,2
en:vegetable-concentrate,en:concentrated-grape-juice,1
en:citrus-flavouring,en:orange,
en:varietal,en:grape,
en:varietal,en:cassia,
en:varietal,en:grenache,2
en:varietal,en:muscadelle,2
en:varietal,en:pinot-meunier,
en:e1400,en:dextrinated-cornmeal,2
en:e1400,en:dextrinated-wheat-flour,2
en:oil-and-fat,en:fat,1
en:oil-and-fat,en:oil,1
en:oil-and-fat,en:vegetable-oil,1
en:beef-meat,en:beef-heart,1
en:beef-meat,en:beef-tongue,1
en:beef-meat,en:beef-tripe,1
en:beef-meat,en:cooked-beef-meat,1
en:beef-meat,en:minced-beef,1
en:beef-meat,fr:carpaccio-de-boeuf,1
en:beef-meat,fr:viande-bovine-de-race-charolaise,1
en:beef-meat,fr:viande-bovine-fraiche-protegee-sous-vide,1
en:beef-meat,fr:viande-bovine-hachee,1
en:beef-meat,fr:viande-bovine-halal,1
en:beef-meat,fr:viande-bovine-origine-france,1
en:natural-lime-flavouring,en:lime,
en:plant-concentrates,en:concentrated-grape-juice,1
en:quark,en:lean-stern,2
en:salt-from-guerande,en:salt,2
en:salt-from-guerande,en:fleur-de-sel-from-guerande,2
en:salt-from-guerande,en:grey-salt-from-guerande,2
en:e500,en:ammonium-and-sodium-carbonates,2
en:rice-starch,en:modified-rice-starch,1
en:malt,en:malted-barley,2
en:malt,en:wholemeal-rye-flour,2
en:malt,en:wheat-malt,
en:malt,en:rye-malt-flour,2
en:cereal,de:getreideflocken,2
en:cereal,en:barley,2
en:cereal,en:buckwheat,2
en:cereal,en:corn,2
en:cereal,en:wheat,
en:cereal,en:khorasan-wheat,2
en:cereal,en:millet,2
en:cereal,en:oat,2
en:cereal,en:puffed-cereal,2
en:cereal,en:rye,2
en:cereal,en:sorghum,2
en:cereal,en:spelt,2
en:cereal,en:wholemeal-oat,2
en:cereal,fr:cereales-biscuitees,2
en:lardon,en:cooked-lardoons,1
en:lardon,en:smoked-lardoons,1
en:lactobacillus,en:ferment,1
en:collagen,en:pork,2
en:raspberry-juice,fr:jus-de-framboise-a-base-de-concentre,1
en:yellow-mustard-seed,en:yellow-and-brown-mustard-seeds,2
en:seaweed,en:ascophyllum,2
en:seaweed,en:fucus,2
en:seaweed,en:kelp,2
en:seaweed,en:kombu,2
en:seaweed,en:laver,2
en:seaweed,en:nori,2
en:seaweed,en:sea-lettuce,2
en:seaweed,en:seaweed-extract,2
en:seaweed,en:thongweed,2
en:seaweed,en:wakame,2
en:legume,en:beans,2
en:legume,en:red-beans,2
en:legume,en:broad-bean,2
en:legume,en:brown-beans,2
en:legume,en:chickpea,2
en:legume,en:flageolets,2
en:legume,en:lentils,2
en:legume,en:lupin,2
en:legume,en:pea,2
en:legume,en:soya-bean,2
en:iodine,en:sodium-iodate,2
en:bread-crumbs,en:wholemeal-breadcrumbs,2
en:flageolets,en:beans,1
en:green-tea,fr:the-vert-d-indonesie,2
en:long-grain-rice,en:brown-long-grain-rice,1
en:long-grain-rice,en:long-grain-white-rice,1
en:long-grain-rice,en:parboiled-long-grain-rice,1
en:long-grain-rice,fr:riz-long-semi-complet,1
en:pork-collagen,fr:boyau-naturel-de-porc,1
en:organic-rice,en:organic-brown-rice,1
en:organic-rice,en:organic-high-quality-long-grain-basmati-rice,1
en:organic-rice,en:parboiled-organic-long-grain-rice,1
en:organic-rice,en:organic-long-grain-white-rice,1
en:organic-rice,fr:riz-basmati-demi-complet-issu-de-l-agriculture-biologique,1
en:organic-rice,fr:riz-long-semi-complet-issu-de-l-agriculture-biologique,1
en:fruit-juice-concentrate,en:fruit-juice-from-concentrate,2
en:fruit-juice-concentrate,en:fruit-juices-and-purees-from-concentrate,2
en:fruit-juice-concentrate,fr:jus-de-fruits-rouges-a-base-de-concentres,
en:e160c,en:chili-pepper,
en:e160c,en:paprika,
en:rye-malt,en:rye-malt-extract,1
en:natural-mineral-water,en:carbonated-natural-mineral-water,2
en:natural-mineral-water,en:luchon-natural-mineral-water,2
en:natural-mineral-water,en:volvic-natural-mineral-water,2
en:butterfat,en:butter,1
en:e392,en:rosemary,
en:unrefined-cane-sugar,en:demerara-sugar,1
en:unrefined-cane-sugar,en:organic-unrefined-cane-sugar,1
en:unrefined-cane-sugar,fr:sucre-roux-de-canne-en-poudre,1
en:cornflower,en:blueberry,2
en:germinated-rice,en:germinated-brown-rice,1
en:germinated-rice,en:germinated-red-rice,1
en:dehydrated-seaweed,en:algae,
fr:sirop-d-amidon,en:corn-starch,2
en:emmental-from-france,fr:emmental-francais-rape,2
