ingredient,reference,proxy_type (1:nutri 2:impact)
en:organic-cocoa-mass-and-organic-cocoa-butter,en:cocoa-mass-and-cocoa-butter,
en:organic-liquorice,en:liquorice,
en:organic-green-tea,en:green-tea,
en:organic-hops,en:hops,
en:organic-kiwi,en:kiwi,
en:organic-maltose-syrup,en:maltose-syrup,
en:organic-milk-proteins,en:milk-proteins,
en:organic-rooibos,en:rooibos,
en:patagonian-squid,en:indian-squid,
en:pea-starch,en:pea,2
en:pea-starch,en:starch,1
en:peach-flavouring,en:peach,
en:pear-flavouring,en:pear,
en:pears-in-cubes,en:pear,
en:penaeidae,en:shrimp,
en:pepper-flavouring,en:black-pepper,
en:peppermint-flavouring,en:peppermint,
en:peppermint-oil,en:peppermint,2
en:pine-bolete,en:weeping-bolete,
en:pink-grapefruit-natural-flavouring,en:pink-grapefruit-juice,
en:pinot-noir,en:pinot-meunier,
en:pistachio-seed-oil,en:sesame-oil,1
en:pistachio-seed-oil,en:pistachio-nuts,2
en:plant-extracts,en:plant,
en:natural-casing,en:pork,
en:pork-protein,en:pork,2
en:pork-protein,en:protein,1
en:potassium-fluoride,en:potassium-iodide,
en:poulsard,en:grape,
en:powdered-milk-products,en:milk-powder,
en:precooked-bulgur,en:cooked-bulgur,
en:precooked-sardine-fillets,en:precooked-sardine,
en:pumpkin-seed-oil,en:organic-pumpkin-seed-oil,
en:queen-scallop,en:great-scallop,
en:raspberry-flavouring,en:raspberry,
en:red-pepper-seed-oil,en:preserved-chili-pepper,2
en:red-port,en:port,
en:red-wine-extract,en:organic-red-wine,
en:rhubarb-juice,en:rhubarb,
en:rice-from-italy,en:rice,
en:roscoff-onions,en:onion,
en:roscoff-pdo-onions,en:roscoff-onion-powder,
en:rose-petals,en:herb,
en:natural-rum-flavouring,en:rum,
en:rye-malt,en:wheat-malt,
en:rye-sirup,en:rice-syrup,
en:safflower-flower,en:safflower,
en:saffron-milk-cap,en:mushroom,
en:salt-from-camargue,en:salt,
en:salted-butter-caramel-sauce,en:salted-butter-caramel,
en:sauerkraut-juice,en:sauerkraut,
en:sciacarello,en:grape,
en:seafood-flavouring,en:shellfish,
en:seitan,en:wheat-protein,
en:selenium,en:sodium-selenite,
en:shellfish-extract,en:shellfish,
en:soapwort,en:herb,
en:soapwort-extract,en:herb,
en:sodium-fluoride,en:sodium-iodide,
en:sodium-hydrogen-selenite,en:sodium-selenite,
en:sodium-selenate,en:sodium-selenite,
en:spanish-organic-olive-oil,en:organic-olive-oil,
en:speculaas,en:speculoos,
en:stevia-rebaudiana-extract,en:herb,
en:strawberry-flavouring,en:natural-strawberry-flavouring,
en:sulfates,en:sulfite,
en:sulfide,en:sulfite,
en:superioir-quality-camargue-long-grain-rice,en:rice,
en:superior-quality-long-grain-parboiled-rice,en:parboiled-long-grain-rice,
en:superior-quality-long-grain-white-rice,en:superior-quality-long-grain-rice,
en:superior-quality-organic-long-grain-rice,en:organic-long-grain-white-rice,
en:superior-quality-organic-rice,en:rice,
en:sweet-lime-flavouring,en:natural-lime-flavouring,
en:swordtip-squid,en:mitre-squid,
en:syrah,en:grape,
en:tapioca-maltodextrin,en:tapioca-flour,2
en:tapioca-maltodextrin,en:maltodextrins,1
en:tequila,en:rum,
en:albacore,en:yellowfin-tuna,
en:thyme-extract,en:thyme,
en:totally-hydrogenated-palm-fat,en:totally-hydrogenated-palm-oil,
en:swordtip-squid,en:mitre-squid,
en:wheat-cakes,en:wheat-flakes,
en:wheat-or-corn-dextrose,en:wheat-dextrose,
en:whole-milk-yogurt-powder,en:whole-milk-powder,
fr:aiguillette-de-poulet,fr:aiguillettes-de-poulet,
en:wild-garlic,en:garlic,
fr:algue-laminaire-en-poudre,en:algae,
fr:algues-rehydratees,en:algae,
fr:amandes-biologiques,en:almond,
fr:amandes-blanchies-en-poudre,en:blanches-almonds,
fr:amandes-caramelisees,en:bitter-almond,
fr:amandes-decortiquees,en:almond,
en:natural-citrus-flavouring,en:orange,
en:natural-dill-flavouring,en:dill,
fr:arome-naturel-de-celeri,en:celery,
fr:arome-naturel-de-champignon,en:mushroom,
fr:arome-naturel-de-citron-citron-vert,en:lime,
en:natural-sweet-lime-flavouring,en:lime,
fr:arome-naturel-de-liveche,en:lovage,
fr:arome-naturel-de-moutarde,en:mustard,
fr:arome-naturel-de-noisette,en:hazelnut,
en:natural-pear-flavouring,en:pear,
fr:arome-naturel-de-reglisse,en:liquorice,
fr:arome-naturel-de-romarin,en:rosemary,
fr:arome-naturel-de-sucre-roux,en:brown-sugar,
fr:arome-naturel-de-vanille-de-madagascar,en:natural-vanilla-flavouring,
fr:arome-naturel-de-vin-blanc,en:white-wine,
fr:aromes-naturels-de-reglisse,en:liquorice,
en:buttermilk,fr:beurre-pasteurise-doux,
fr:blancs-d-oeufs-pasteurises,fr:blanc-d-oeuf-liquide-pasteurise,
fr:ble-malte-torrefie-concasse,fr:ble-malte-concasse,
fr:bleuets,en:blueberry,
fr:bouillon-de-homard,en:pork-stock,1
fr:cafe-moulu-pur-arabica-bio,fr:cafe-moulu-pur-arabica,
fr:caramel-en-poudre,en:caramel,
fr:carottes-en-rondelles,fr:carottes-rapees,
en:celery-powder,en:celery-puree,2
fr:ciboulette-deshydratee,en:chives,
fr:concentre-d-hibiscus-et-de-carotte,en:concentrated-carrot-juice,
fr:concentre-de-citrouille,en:pumpkin,2
fr:concentre-salin-liquide,en:brine,
en:fruit-concentrates,en:fruit-juice-concentrate,
en:coriander-powder,en:coriander,
fr:crevettes-decortiquees,en:grey-shrimp,
fr:crevettes-roses,en:grey-shrimp,
fr:d-elevage-en-plein-air,en:free-range-eggs,
fr:dattes-bio,en:date,
fr:decor-au-cacao-maigre,en:fat-reduced-cocoa,
fr:demi-abricots,en:organic-apricot,
fr:dextrine-de-ble,en:dextrinated-wheat-flour,
en:corn-dextrin,en:dextrinated-cornmeal,
fr:dextrose-de-tapioca,en:tapioca-flour,2
en:tapioca-dextrin,en:tapioca-flour,2
en:tapioca-dextrin,en:corn-dextrose,1
fr:dextrose-de-tapioca,en:corn-dextrose,1
fr:echalote-deshydratee,en:dehydrated-onion,
fr:eclats-de-caramel-au-beurre-sale,en:salted-butter-caramel,
fr:eclats-de-noisettes-caramelises,fr:eclats-de-noisettes,
fr:ecorces-d-agrumes,en:citrus-fibre,
fr:emulsifiant-lecithines,fr:emulsifiant-lecithine-de-tournesol,
fr:epinards-deshydrates,en:spinach,
fr:extrait-d-ail,en:garlic,
fr:extrait-d-huitre,en:oyster,
fr:extrait-de-celeri,en:celery,
en:crab-extract,en:crab,
fr:extrait-de-malte-d-orge-houblonne,en:barley-malt-extract,
fr:extrait-de-piment,en:pepper-extract,
fr:extrait-de-pois,en:pea,
fr:extrait-de-poulet,en:poultry-extract,
fr:extrait-de-vin-blanc-distille,en:white-wine-extract,
en:natural-spice-extract,en:spice-extract,
en:natural-paprika-extract,en:paprika,
fr:extrait-naturel-de-poivre,en:black-pepper-extract,
fr:extrait-naturel-de-romarin,en:rosemary,
fr:extraits-naturels-d-orange,en:orange-extract,
en:peanut-flour,en:peanut-oil,2
en:celery-leaves,en:celery,
fr:fibres-de-betterave,en:beetroot-sprouts,2
fr:fibres-de-legume,fr:fibres-de-betterave,2
fr:fibres-de-tomate,en:tomato-puree,2
fr:filet-de-poulet-traite-en-salaison-cuit,fr:viande-de-poulet-traitee-en-salaison-cuite,
fr:filets-de-poulet-jaune,fr:filets-de-poulet,
fr:filets-de-thon,en:tuna,
fr:flageolets-verts-extra-fins,en:green-flageolets,
fr:flocons-de-pomme,en:apple,
fr:flocons-de-seigle-malte,en:rye-malt-flour,
fr:fraises-lyophilisees,en:freeze-dried-raspberries,
en:low-fat-cheese,fr:fromages-rapees-seches,
fr:fruits-a-cidre-de-normandie,en:apple,
en:fruit-and-vegetable-concentrates,en:fruit-and-plant-concentrates,
fr:fruits-exotiques,en:fruit,
fr:fumet-de-poisson-aromatise,fr:fumet-de-poisson,
fr:glucose-de-ble,en:glucose,
fr:graines-de-sarrasin,en:buckwheat,
fr:gros-oeufs-de-poules-elevees-en-plein-air,en:free-range-chicken-eggs,
fr:haricots-rouges-rehydrates,fr:haricots-rouges-precuits,
fr:haricots-rouges-secs-trempes,fr:haricots-blancs-secs-trempes,
fr:huile-de-coco-vierge-biologique,en:organic-coconut-oil,
fr:huile-de-noix-de-coco-totalement-hydrogenee,fr:huile-de-noix-de-coco-totalement-hydrogenee-et-non-hydrogenee,
fr:huile-essentielle-de-menthe,en:mint,2
fr:huile-essentielle-de-poivre,en:black-pepper,2
en:pea-protein-isolate,en:soy-protein-isolate,
fr:jaune-d-oeuf-liquide-pasteurise,en:liquid-egg-yolk,
en:pasteurised-egg-yolk,en:liquid-egg-yolk,
fr:jaune-d-oeuf-sale,en:egg-yolk,
en:baby-carrots,en:orange-carrot,
fr:jus-concentre-de-celeri-et-de-carotte,en:concentrated-carrot-juice,
fr:jus-concentre-de-fruits-rouges,fr:jus-de-fruits-rouges-a-base-de-concentres,2
fr:jus-concentre-pulpe-de-citron,en:lemon,2
fr:jus-de-celeri-rave-concentre,en:celery,
fr:jus-de-citron-bio-concentre,en:concentrated-lemon-juice,
en:lime-juice-concentrate,en:concentrated-lemon-juice,
fr:jus-de-cuisson,en:cooking-water,
fr:jus-de-dattes-concentre,en:date,
fr:jus-de-poire-concentre,en:pear-juice-from-concentrate,2
fr:jus-de-raisin-concentre-rectifie,en:concentrated-grape-juice,
fr:lentilles-noires-beluga,en:lentils,
fr:lentilles-rehydratees,en:precooked-lentils,
fr:lentilles-vertes-du-berry,en:organic-green-lentils,
fr:lentillons,en:lentils,
fr:levain-de-ble-deshydrate,fr:levain-de-seigle-devitalise,
fr:levain-de-ble-devitalise,fr:levain-de-seigle-devitalise,
fr:levain-de-seigle-deshydrate-et-devitalise,fr:levain-de-seigle-devitalise,
fr:machons-et-ailerons-de-poulet,fr:manchons-de-poulet,
fr:mais-moulu,en:corn,
fr:maltodextrine-fumee,en:maltodextrins,
en:duck-wing,en:duck-meat,
fr:manchons-de-canard-du-sud-ouest,en:duck-meat,
fr:matieres-grasses-vegetales-de-colza,en:colza-oil,
fr:morceaux-de-pistache,en:pistachio-nuts,
fr:moules-cuites,en:mussel,
fr:mout-de-pomme-concentre,fr:puree-de-pommes-concentree,
fr:mout-de-pomme-concentre,en:concentrated-apple-juice,
fr:mout-de-raisin-concentre-et-cuit,fr:mout-de-raisin-cuit,
fr:mout-de-raisin-concentre-rectifie,en:concentrated-grape-must,
en:wild-blueberries,en:blueberry,
fr:noisettes-decortiquees,fr:noisettes-entieres,
fr:noisettes-entieres-torrefiees,fr:noisettes-entieres,
fr:noix-de-saint-jacques-sans-corail,en:scallop,
fr:oeuf-entier-d-elevage-au-sol,en:barn-eggs,
fr:oeufs-de-categorie-a-de-poules-elevees-en-plein-air,en:free-range-chicken-eggs,
en:eggs-from-caged-hens,en:egg,
fr:oeufs-de-poules-elevees-en-plein-air-calibre-moyen,en:free-range-chicken-eggs,
fr:oeufs-de-poules-elevees-en-plein-air-pasteurises,en:free-range-chicken-eggs,
fr:oeufs-entiers-extra-frais,en:whole-fresh-eggs,
fr:oeufs-extra-frais,en:whole-fresh-eggs,
fr:oeufs-frais-de-poule-elevees-en-plein-air,en:free-range-chicken-eggs,
fr:oignon-semoule,en:dehydrated-onion,
fr:oignons-eminces,en:onion,
fr:oignons-en-morceaux,en:onion,
en:pearl-onion,en:onion,
fr:oignons-grilles-en-poudre,en:dehydrated-onion,
fr:origan-deshydrate,en:oregano,
fr:origan-en-poudre,en:oregano,
fr:orthophosphate,en:phosphate,
fr:os-et-viande-de-poulet,en:chicken-meat,
fr:pain-special-bretzel,fr:pain-special-cuit,
fr:palmiste-totalement-hydrogenee,en:palm-kernel-oil,
fr:papayes-sechees,en:papaya,
en:coconut-paste,en:coconut,
fr:pates-alimentaires-de-semoule-de-ble-dur-de-qualite-superieure,en:durum-wheat-semolina-pasta,
fr:peches-en-cubes,en:peach,
fr:petales-de-ble,en:whole-wheat-flakes,
fr:petales-de-bleuet,en:herb,
fr:petales-de-jasmin,en:herb,
fr:petales-de-tournesol,en:sunflower-seed,2
fr:petales-de-tournesol,en:herb,1
